Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides MS2	Razor + unique peptides MS2	Unique peptides MS2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 MS2	Reporter intensity corrected 1 MS2	Reporter intensity corrected 2 MS2	Reporter intensity corrected 3 MS2	Reporter intensity corrected 4 MS2	Reporter intensity corrected 5 MS2	Reporter intensity corrected 6 MS2	Reporter intensity corrected 7 MS2	Reporter intensity corrected 8 MS2	Reporter intensity corrected 9 MS2	Reporter intensity 0 MS2	Reporter intensity 1 MS2	Reporter intensity 2 MS2	Reporter intensity 3 MS2	Reporter intensity 4 MS2	Reporter intensity 5 MS2	Reporter intensity 6 MS2	Reporter intensity 7 MS2	Reporter intensity 8 MS2	Reporter intensity 9 MS2	Reporter intensity count 0 MS2	Reporter intensity count 1 MS2	Reporter intensity count 2 MS2	Reporter intensity count 3 MS2	Reporter intensity count 4 MS2	Reporter intensity count 5 MS2	Reporter intensity count 6 MS2	Reporter intensity count 7 MS2	Reporter intensity count 8 MS2	Reporter intensity count 9 MS2	Sequence coverage MS2 [%]	Intensity	Intensity MS2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2A5Y0;CON__REFSEQ:XP_986630;CON__Q14525;CON__Q9UE12;CON__Q15323;CON__Q497I4;CON__Q9D646;CON__Q6NTB9;CON__O76009	CON__A2A5Y0;CON__REFSEQ:XP_986630;CON__Q14525;CON__Q9UE12;CON__Q15323;CON__Q497I4	3;3;2;2;2;2;1;1;1	2;2;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1			;;;;;	9	3	2	2	3	2	2	7.5	5.8	5.8	47.117	416	416;476;404;416;416;455;392;404;404	0.0042796	10.354	11759	11367	10933	11745	11310	9558.5	12788	11790	11717	11389	11124	10740	11064	12001	11475	9728	12917	12083	11607	10997	3	3	3	3	3	3	3	3	3	3	11759	11367	10933	11745	11310	9558.5	12788	11790	11717	11389	11124	10740	11064	12001	11475	9728	12917	12083	11607	10997	3	3	3	3	3	3	3	3	3	3	7.5	353690000	353690000	3			+	0	5498;10520;12783	True;False;True	6207;11819;14315	9460;17620;21040;21041	11939;22196;22197;26365;26366	11939;22197;26365		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	4;3	4;3	4;3			;	2	4	4	4	4	4	4	2.1	2.1	2.1	192.99	1742	1742;1741	0	27.875	3911.9	3727.1	7990.8	18344	6278.9	7574.1	15173	4062.8	17542	18192	3717	3604.2	7807.6	17770	6600.9	8062.9	15082	4759.5	17209	17224	5	5	5	5	5	5	5	5	5	5	3911.9	3727.1	7990.8	18344	6278.9	7574.1	15173	4062.8	17542	18192	3717	3604.2	7807.6	17770	6600.9	8062.9	15082	4759.5	17209	17224	5	5	5	5	5	5	5	5	5	5	2.1	27887000	27887000	5			+	1	2433;5132;5868;20263	True;True;True;True	2772;5810;6614;23107	4330;4331;8908;10050;34231	5535;5536;11267;12691;42759	5536;11267;12691;42759		
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	1	1	1				1	1	1	1	1	1	1	0.6	0.6	0.6	164.34	1477	1477	1	-2	9292.3	11568	6880.7	12596	14069	10252	10215	12046	12102	15306	8783.9	10933	7147.9	12833	13800	10432	10635	12475	11861	14691	2	2	2	2	2	2	2	2	2	2	9292.3	11568	6880.7	12596	14069	10252	10215	12046	12102	15306	8783.9	10933	7147.9	12833	13800	10432	10635	12475	11861	14691	2	2	2	2	2	2	2	2	2	2	0.6	112120000	112120000	3	+		+	2	13568	True	15538;15539	23126;23127	28981;28982;28983	28983	0	1389
CON__ENSEMBL:ENSBTAP00000031360	CON__ENSEMBL:ENSBTAP00000031360	4	4	4				1	4	4	4	4	4	4	19.3	19.3	19.3	54.678	491	491	0	47.949	4298	2317.1	15246	39207	2968.5	12361	31061	2139.6	37203	38473	4108.1	2399	14625	37573	3270	13533	30436	3701.5	36447	36276	4	4	4	4	2	4	4	4	4	4	4298	2317.1	15246	39207	2968.5	12361	31061	2139.6	37203	38473	4108.1	2399	14625	37573	3270	13533	30436	3701.5	36447	36276	4	4	4	4	2	4	4	4	4	4	19.3	56169000	56169000	4			+	3	3776;4822;6857;7870	True;True;True;True	4273;5429;7728;8878	6619;8355;11628;13367	8374;10562;14664;16828	8374;10562;14664;16828		
CON__ENSEMBL:ENSBTAP00000032840	CON__ENSEMBL:ENSBTAP00000032840	1	1	1				1	1	1	1	1	1	1	1.1	1.1	1.1	92.273	825	825	1	-2	2719.5	2452.4	2470.2	1930.3	2444.3	2194.5	2390	2453.9	2256	2493.5	2572.4	2313.7	2501.3	2018.1	2481.1	2195.8	2431.7	2526.5	2231.7	2404.8	1	1	1	1	1	1	1	1	1	1	2719.5	2452.4	2470.2	1930.3	2444.3	2194.5	2390	2453.9	2256	2493.5	2572.4	2313.7	2501.3	2018.1	2481.1	2195.8	2431.7	2526.5	2231.7	2404.8	1	1	1	1	1	1	1	1	1	1	1.1	7705500	7705500	1	+		+	4	10339	True	11622	17348	21872	21872	1	531
CON__ENSEMBL:ENSBTAP00000038329	CON__ENSEMBL:ENSBTAP00000038329	1	1	1				1	1	1	1	1	1	1	15	15	15	8.5787	80	80	0.005618	8.4124	550.5	478.12	882.13	1952.4	911.74	961.42	1190.5	594	2035.9	2017.8	522.15	460.06	870.08	1898.8	928.23	1007.1	1221.6	670.86	1973	1913.7	1	1	1	1	1	1	1	1	1	1	550.5	478.12	882.13	1952.4	911.74	961.42	1190.5	594	2035.9	2017.8	522.15	460.06	870.08	1898.8	928.23	1007.1	1221.6	670.86	1973	1913.7	1	1	1	1	1	1	1	1	1	1	15	5038500	5038500	1			+	5	12083	True	13550	19976	25067	25067		
CON__O95678	CON__O95678	12	1	1				1	12	1	1	12	1	1	15.1	1.8	1.8	59.504	551	551	0.0055096	7.1778	2806.4	3137.2	2486.1	3078.5	3553.2	3178	3510.9	3045.9	2923.4	3270.3	2654.3	2963.2	2534.8	3166.1	3541.7	3185.5	3559.8	3158.9	2909.4	3149.8	1	1	1	1	1	1	1	1	1	1	2806.4	3137.2	2486.1	3078.5	3553.2	3178	3510.9	3045.9	2923.4	3270.3	2654.3	2963.2	2534.8	3166.1	3541.7	3185.5	3559.8	3158.9	2909.4	3149.8	1	1	1	1	1	1	1	1	1	1	15.1	6795900	6795900	1			+	6	497;531;3756;5741;5742;6119;10129;10310;12629;14029;21095;21096	False;False;False;False;False;False;False;False;True;False;False;False	556;597;4249;6476;6477;6894;11396;11587;14147;16076;24037;24038	887;943;6579;9861;9862;9863;10440;17038;17305;20806;23954;35561;35562	1134;1201;8319;12445;12446;12447;12448;13195;21508;21828;26086;30029;30030;44443;44444	1134;1201;8319;12446;12447;13195;21508;21828;26086;30029;44443;44444		
CON__P00761;CON__P07477	CON__P00761	7;1	7;1	7;1				2	7	7	7	7	7	7	39	39	39	24.409	231	231;247	0	173.63	218120	163220	172520	221110	216220	230250	229460	224660	225410	251740	206230	154520	176900	223640	217030	230780	232820	233160	222580	242250	34	34	34	34	34	34	34	34	34	34	218120	163220	172520	221110	216220	230250	229460	224660	225410	251740	206230	154520	176900	223640	217030	230780	232820	233160	222580	242250	34	34	34	34	34	34	34	34	34	34	39	36986000000	36986000000	42			+	7	1742;9293;11284;12442;14010;17284;19086	True;True;True;True;True;True;True	2002;10468;10469;12642;13940;16057;19741;21770	3101;15734;15735;15736;18730;18731;18732;18733;18734;18735;18736;20491;20492;20493;20494;20495;23930;23931;29275;32287;32288;32289;32290;32291;32292;32293;32294;32295;32296;32297	3959;19882;19883;19884;19885;23534;23535;23536;23537;23538;23539;23540;23541;23542;23543;23544;23545;25691;25692;25693;25694;25695;25696;25697;30003;30004;36630;40362;40363;40364;40365;40366;40367;40368;40369;40370;40371;40372;40373;40374;40375;40376	3959;19884;23536;25695;30003;36630;40372	2	94
CON__P02533;CON__P08727;CON__P19001;CON__Q61782;CON__P05784;CON__Q99456;CON__Q8N1A0;CON__P35900;CON__Q92764;CON__Q9D312;CON__Q14532;CON__A2AB72;CON__O76015;CON__O76013;CON__Q7Z3Y9;CON__O76014	CON__P02533	22;5;5;2;2;2;1;1;1;1;1;1;1;1;1;1	18;2;2;2;0;0;1;1;0;1;0;0;0;0;0;0	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0				16	22	18	3	22	18	3	45.3	40	6.1	51.621	472	472;400;403;93;423;494;295;424;425;431;448;453;456;467;468;471	0	169.45	85625	135830	55344	113390	117470	93282	76853	96666	112530	147340	80909	128190	58153	117470	115000	94718	81157	101270	109520	140980	15	15	15	15	15	15	15	15	15	15	85625	135830	55344	113390	117470	93282	76853	96666	112530	147340	80909	128190	58153	117470	115000	94718	81157	101270	109520	140980	15	15	15	15	15	15	15	15	15	15	45.3	367210000	367210000	20			+	8	1262;1725;1950;2469;2659;3860;3940;4284;5478;7729;7760;9408;9661;10520;10750;10751;11110;13907;14998;15514;20480;21124	True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;True	1421;1984;2231;2810;3020;4369;4460;4835;6185;8721;8759;10591;10884;11819;12070;12071;12458;15940;17157;17158;17752;23349;23350;24068	2213;3077;3439;4399;4717;6784;6930;7486;9431;13114;13171;15902;16306;17620;17956;17957;17958;18491;23761;25470;25471;26313;34581;34582;34583;34584;34585;35605	2800;3926;4375;5625;6019;8574;8766;8767;9450;11906;16519;16589;20091;20590;22196;22197;22598;22599;22600;23238;29801;31919;31920;32960;43187;43188;43189;43190;43191;43192;43193;44495	2800;3926;4375;5625;6019;8574;8766;9450;11906;16519;16589;20091;20590;22197;22599;22600;23238;29801;31919;32960;43192;44495	3;4;5;6;7	14;119;257;272;391
CON__P48668;CON__P02538;CON__P04259;CON__P07744;CON__H-INV:HIT000292931;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__Q61726	CON__P48668;CON__P02538;CON__P04259	21;21;20;4;3;3;3;3;1	9;9;8;0;1;0;0;0;0	3;3;2;0;0;0;0;0;0			;;	9	21	9	3	21	9	3	30.7	16	6.2	60.024	564	564;564;564;525;443;457;469;469;479	0	80.074	34765	54189	16311	33281	32320	25478	26055	26616	47348	45050	32827	51071	17670	35323	31784	25986	27406	28011	45815	43036	7	7	7	7	7	7	7	7	7	7	34765	54189	16311	33281	32320	25478	26055	26616	47348	45050	32827	51071	17670	35323	31784	25986	27406	28011	45815	43036	7	7	7	7	7	7	7	7	7	7	30.7	151520000	151520000	9			+	9	497;531;1879;3756;5653;5741;5742;6119;7773;10129;10310;11060;14029;15192;15932;16532;17021;17566;20929;21095;21096	True;True;False;False;True;False;False;False;True;False;False;True;False;False;True;True;True;True;False;False;False	556;597;2154;4249;6382;6476;6477;6894;8773;11396;11587;12405;16076;17370;18227;18879;19424;20059;23848;24037;24038	887;943;3334;6579;9728;9861;9862;9863;10440;13194;17038;17305;18419;23954;25772;27015;27963;28783;29803;35270;35561;35562	1134;1201;4251;8319;12274;12445;12446;12447;12448;13195;16617;21508;21828;23146;30029;30030;32298;33875;35026;36028;37308;44059;44060;44061;44443;44444	1134;1201;4251;8319;12274;12446;12447;13195;16617;21508;21828;23146;30029;32298;33875;35026;36028;37308;44059;44443;44444		
